fecha,ccaa,<11 anios,12-19 anios,20-29 anios,30-39 anios,40-49 anios,50-59 anios,60-69 anios,70-79 anios,>80 anios
29/06/2021,Madrid,50.75,237.56,160.95,101.30,79.16,44.72,35.69,12.93,18.95
30/06/2021,Madrid,49.88,263.21,177.38,100.25,79.33,44.61,34.41,12.17,19.77
01/07/2021,Madrid,47.88,287.24,199.33,111.41,81.73,44.10,32.84,12.36,17.85
05/07/2021,Madrid,47.14,348.66,276.51,136.79,87.65,45.13,33.84,13.31,19.50
07/07/2021,Madrid,52.37,401.96,393.01,173.75,103.43,53.15,38.53,14.83,21.97
09/07/2021,Madrid,62.97,471.51,565.00,233.88,126.93,63.63,48.06,17.11,27.46
12/07/2021,Madrid,76.56,575.20,721.91,299.27,156.26,76.69,62.84,19.96,31.86
14/07/2021,Madrid,108.11,752.07,948.72,398.05,200.43,94.47,86.02,28.70,43.12
16/07/2021,Madrid,152.00,963.07,1225.90,529.99,256.87,130.14,116.31,43.34,63.71
23/07/2021,Madrid,346.03,1486.43,1882.89,886.55,436.12,273.55,237.30,99.98,157.36
30/07/2021,Madrid,533.45,1513.34,2005.72,1017.86,549.84,403.07,345.64,175.07,279.03
30/07/2021,Madrid,533.45,1513.34,2005.72,1017.86,549.84,403.07,345.64,175.07,279.03
06/08/2021,Madrid,591.43,1253.20,1513.45,858.96,506.70,409.44,356.02,217.84,338.35
09/08/2021,Madrid,578.59,1140.11,1329.61,790.51,475.05,393.00,346.21,220.88,333.40
12/08/2021,Madrid,534.82,950.97,1046.10,676.78,412.10,351.05,311.24,216.32,343.02
16/08/2021,Madrid,476.21,780.07,820.90,561.69,356.70,302.53,270.86,196.55,327.09
18/08/2021,Madrid,434.94,694.62,701.98,504.19,325.14,274.16,247.40,184.95,316.10
19/08/2021,Madrid,422.35,652.16,659.95,471.13,313.47,261.83,239.86,177.35,319.12
20/08/2021,Madrid,407.01,613.68,611.74,446.48,300.78,250.42,229.77,170.51,319.95
25/08/2021,Madrid,347.03,496.08,472.20,356.56,251.12,212.38,195.93,146.18,283.97
26/08/2021,Madrid,342.66,470.97,440.55,336.44,243.23,205.49,191.66,146.94,283.97
27/08/2021,Madrid,333.81,447.12,411.19,320.12,235.43,200.15,187.96,145.99,283.15
30/08/2021,Madrid,273.96,361.31,329.30,260.84,194.77,166.53,159.81,123.17,233.44
31/08/2021,Madrid,303.76,374.14,332.54,278.74,213.56,184.32,176.02,136.48,275.73
02/09/2021,Madrid,275.45,329.88,292.54,246.30,197.17,171.16,163.65,133.06,265.02
03/09/2021,Madrid,265.35,311.99,275.43,234.30,190.74,164.89,155.97,130.97,246.35
06/09/2021,Madrid,245.40,279.11,235.02,207.97,178.05,154.92,143.46,121.65,224.65
07/09/2021,Madrid,231.31,256.53,215.50,188.49,169.04,144.74,136.07,118.80,216.69
08/09/2021,Madrid,222.71,236.12,196.77,175.43,161.58,135.18,128.25,111.96,199.93
09/09/2021,Madrid,205.75,218.59,180.75,160.38,151.38,127.16,121.14,102.84,187.30
10/09/2021,Madrid,191.53,198.90,168.22,145.42,143.74,119.76,112.47,94.47,179.06
13/09/2021,Madrid,173.95,176.68,145.19,125.94,127.96,104.24,102.23,83.83,158.19
14/09/2021,Madrid,168.59,162.59,137.24,120.36,118.79,95.29,96.54,81.55,144.73
15/09/2021,Madrid,159.74,145.43,122.56,108.46,108.32,87.79,89.57,75.46,138.14
16/09/2021,Madrid,155.00,131.34,112.73,102.04,101.89,82.14,83.75,72.04,125.23
17/09/2021,Madrid,151.38,123.93,103.57,96.25,94.94,77.82,81.47,70.33,120.56
20/09/2021,Madrid,142.03,109.30,89.97,90.35,85.25,68.26,76.78,66.34,111.50
21/09/2021,Madrid,140.78,104.96,88.08,86.14,80.53,65.59,72.94,60.83,106.83
22/09/2021,Madrid,136.04,94.48,82.56,80.98,76.25,61.27,67.82,56.08,99.97
23/09/2021,Madrid,133.05,89.24,75.56,77.82,73.59,57.77,64.55,53.41,89.26
24/09/2021,Madrid,133.42,86.17,72.60,76.45,72.04,54.28,62.99,51.13,83.76
27/09/2021,Madrid,131.43,74.07,63.71,73.19,69.30,50.78,56.87,49.61,75.25
28/09/2021,Madrid,127.44,70.46,61.55,71.08,69.64,47.80,55.31,45.81,72.23
29/09/2021,Madrid,122.08,66.12,57.38,68.55,68.18,45.75,53.32,46.38,70.03
30/09/2021,Madrid,118.21,60.52,53.74,66.55,67.07,44.20,52.32,42.20,65.64
01/10/2021,Madrid,133.42,86.17,72.60,76.45,72.04,54.28,62.99,51.13,83.76
04/10/2021,Madrid,101.63,49.14,48.35,57.28,61.58,42.35,45.07,35.36,61.24
05/10/2021,Madrid,98.01,47.51,46.06,58.86,62.18,41.02,43.93,35.36,59.05
06/10/2021,Madrid,96.02,46.43,45.39,57.92,60.81,41.22,44.79,35.17,58.50
07/10/2021,Madrid,89.03,41.73,43.50,55.81,59.18,40.71,43.79,33.84,55.48
08/10/2021,Madrid,85.17,39.02,42.16,55.18,57.98,39.68,44.93,34.41,55.48
11/10/2021,Madrid,77.44,36.49,39.60,50.23,54.63,38.96,43.65,30.22,56.85
13/10/2021,Madrid,65.47,34.14,35.42,45.28,49.40,37.21,38.53,27.37,57.95
14/10/2021,Madrid,64.34,32.88,34.88,44.23,50.86,36.60,36.11,27.94,59.32
15/10/2021,Madrid,62.85,31.98,34.75,44.65,51.80,36.39,39.38,29.46,57.12
18/10/2021,Madrid,61.72,32.16,37.98,45.07,53.77,36.60,38.10,32.88,57.95
19/10/2021,Madrid,62.60,32.16,38.65,45.07,53.69,37.32,38.82,32.31,59.32
20/10/2021,Madrid,64.97,32.34,41.48,45.81,54.98,38.45,39.24,31.93,56.03
21/10/2021,Madrid,66.71,33.96,43.77,47.49,56.52,40.40,36.83,32.69,56.30
22/10/2021,Madrid,69.46,34.69,46.60,49.18,57.81,41.84,38.39,33.65,57.12
25/10/2021,Madrid,69.46,33.06,47.54,51.81,58.06,43.69,41.94,37.64,56.85
26/10/2021,Madrid,68.58,31.98,47.81,52.86,57.12,42.56,42.65,36.50,44.49
27/10/2021,Madrid,75.19,33.60,51.72,56.86,61.67,46.36,47.49,42.01,47.51
28/10/2021,Madrid,78.56,33.78,53.34,57.92,60.21,46.16,48.34,43.91,46.41
29/10/2021,Madrid,78.43,33.96,52.93,59.08,60.64,46.77,48.34,44.67,48.06
02/11/2021,Madrid,77.31,30.89,48.76,56.97,57.81,43.79,48.91,39.73,43.12
03/11/2021,Madrid,73.94,29.81,46.74,57.60,60.12,44.10,52.04,42.96,47.79
04/11/2021,Madrid,76.31,27.28,45.79,58.97,62.18,44.92,57.73,45.81,50.81
05/11/2021,Madrid,79.93,28.18,46.60,58.65,67.33,46.36,58.29,46.57,54.93
08/11/2021,Madrid,81.30,31.98,50.24,59.08,70.84,47.70,58.29,49.61,55.20
10/11/2021,Madrid,87.04,33.42,48.76,60.76,74.87,50.99,61.14,51.13,57.12
11/11/2021,Madrid,82.80,30.71,44.58,59.18,73.67,50.78,60.43,48.28,52.18
12/11/2021,Madrid,96.89,36.85,53.60,69.50,86.37,56.95,70.52,57.60,62.62
15/11/2021,Madrid,106.61,37.94,53.87,73.50,90.05,62.60,75.36,65.77,66.19
16/11/2021,Madrid,118.46,41.91,58.86,82.14,101.37,69.59,83.60,71.66,67.83
17/11/2021,Madrid,126.69,43.36,60.74,86.98,105.15,72.37,84.74,72.04,65.64
18/11/2021,Madrid,132.93,46.61,62.76,86.98,111.58,75.86,87.73,72.04,63.44
19/11/2021,Madrid,142.90,49.14,67.34,96.04,117.24,82.03,92.84,78.70,59.32
22/11/2021,Madrid,154.87,48.78,68.82,104.57,127.96,88.61,102.23,82.50,60.69
23/11/2021,Madrid,164.10,51.31,73.81,111.73,133.19,95.09,106.64,84.21,59.87
24/11/2021,Madrid,180.56,56.91,82.56,120.47,147.26,101.98,118.15,88.58,67.83
25/11/2021,Madrid,194.40,60.88,90.64,125.21,156.86,108.97,125.40,93.90,69.21
26/11/2021,Madrid,197.77,61.78,94.82,128.68,162.95,114.41,130.95,96.18,70.31
